Ticker Code,Participant Admin,Underwriter(s),Listing Board,Final Price (Rp),Warrant per share ratio,Exercise Price (Warrant) (Rp),Open,High,Low,Close
RAFI-W,IN - INVESTINDO NUSANTARA SEKURITAS,"IN,CP",Pengembangan,126.0,0.5,158.0,-,-,-,-
AMMS-W,IU - INDO CAPITAL SEKURITAS,IU,Akselerasi,100.0,1.4,100.0,-,-,-,-
KRYA-W,IU - INDO CAPITAL SEKURITAS,IU,Pengembangan,125.0,0.5,156.0,-,-,-,-
CHEM-W,XA - NH KORINDO SEKURITAS INDONESIA,XA,Pengembangan,150.0,0.5,200.0,-,-,-,-
SWID-W,AH - SHINHAN SEKURITAS INDONESIA,AH,Pengembangan,200.0,1.0,250.0,-,-,-,-
NPII-W,SF - SURYA FAJAR SEKURITAS,"SF,MI",Pengembangan,,5.0,500.0,-,-,-,-
OLIV-W,II - DANATAMA MAKMUR SEKURITAS,II,Akselerasi,100.0,1.0,120.0,-,-,-,-
IBOS-W,SF - SURYA FAJAR SEKURITAS,"SF,XA",Akselerasi,100.0,0.5,180.0,-,-,-,-
WINR-W,SH - ARTHA SEKURITAS INDONESIA,"SH,FS,PG,YP",Utama,100.0,0.866666667,250.0,-,-,-,-
SICO-W,XA - NH KORINDO SEKURITAS INDONESIA,XA,Pengembangan,230.0,0.1,350.0,-,-,-,-
WIRG-W,KI - CIPTADANA SEKURITAS ASIA,KI,Pengembangan,168.0,0.3,188.0,-,-,-,-
BIKE-W,"LG - TRIMEGAH SEKURITAS INDONESIA TBK,","LG,XA,YP",Pengembangan,170.0,0.5,492.0,-,-,-,-
NANO-W,AI - UOB KAY HIAN SEKURITAS,AI,Akselerasi,100.0,0.8,125.0,-,-,-,-
NTBK-W,SF - SURYA FAJAR SEKURITAS,"SF,II",Pengembangan,100.0,1.0,120.0,-,-,-,-
BAUT-W,AI - UOB KAY HIAN SEKURITAS,AI,Pengembangan,100.0,0.8,125.0,-,-,-,-
SEMA-W,XA - NH KORINDO SEKURITAS INDONESIA,XA,Pengembangan,180.0,0.5,230.0,-,-,-,-
OBMD-W,HD - KGI SEKURITAS INDONESIA,HD,Pengembangan,180.0,0.5,180.0,-,-,-,-
BINO-W,IU - INDO CAPITAL SEKURITAS,"IU,KK,MG",Pengembangan,138.0,0.5,168.0,-,-,-,-
KUAS-W,XA - NH KORINDO SEKURITAS INDONESIA,XA,Pengembangan,195.0,0.333333333,250.0,-,-,-,-
SBMA-W,HD - KGI SEKURITAS INDONESIA,HD,Pengembangan,180.0,0.166666667,230.0,-,-,-,-
OILS-W,BQ - KOREA INVESTMENT AND SEKURITAS INDONESIA,BQ,Pengembangan,270.0,0.25,320.0,-,-,-,-
GPSO-W,SF - SURYA FAJAR SEKURITAS,"SF,XA",Pengembangan,180.0,1.0,250.0,-,-,-,-
UVCR-W,SF - SURYA FAJAR SEKURITAS,"SF,XA,YP",Akselerasi,100.0,0.5,350.0,-,-,-,-
MASB-W,SQ - BCA SEKURITAS,SQ,Pengembangan,3360.0,1.0,3500.0,-,-,-,-
