IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,STRK,PT Lovina Beach Brewery Tbk,Consumer Non-Cyclicals,Liquors,Pengembangan,100.0,0.35,0.34814814814814815,0.34065934065934067,0.2459016393442623,-0.25,-0.25,0.12280701754385964,0.97,Bergerak dalam bidang Industri Distribusi Minuman Beralkohol & Pengolahannya melalui Anak perusahaan,"Jl, Tukad Banyu Poh 110 X, Sesetan Denpasar Selatan, 80223","https://lovinabeachbrewery,com/",1180000000,11.01,SH - ARTHA SEKURITAS INDONESIA,"SH,FZ,HD,PG",2023-09-06,2023-09-20,100,119,2023-10-03,2023-10-06,2023-10-06,2023-10-09,2023-10-10,2.75,250.0
Closed,PTPS,PT PULAU SUBUR TBK,Industrials,Agricultural & Farm Machinery,Pengembangan,198.0,-0.3484848484848485,-0.1937984496124031,0.125,-0.05128205128205128,-0.05405405405405406,0.06666666666666667,-0.026785714285714284,-0.03535353535353535,Perseroan bergerak dalam bidang Perkebunan Buah Kelapa Sawit,"Jl A, Yani No,12 ABC, RT23 RW023 14 Ulu, Seberang Ulu Dua, Palembang","https://www,pulausubur,com",450000000,20.76,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-09-20,2023-09-22,198,206,2023-10-03,2023-10-05,2023-10-05,2023-10-06,2023-10-09,0.5,218.0
Closed,BREN,PT Barito Renewables Energy Tbk,Infrastructures,Electric Utilities,Utama,780.0,0.25,0.24615384615384617,0.24691358024691357,0.24752475247524752,0.24867724867724866,0.1652542372881356,0.24727272727272728,11.179487179487179,Aktvitas perusahaan holding,"Wisma Barito Pacific II, Lantai 23, Jl, Let, Jend, S, Parman Kav, 60, RT 010, RW 005, Slipi, Palmerah, Jakarta 11410, Indonesia","https://www,baritorenewables,co,id/",4015000000,3.0,NI - BNI SEKURITAS,"NI,TP",2023-09-18,2023-09-25,670,780,2023-10-03,2023-10-05,2023-10-05,2023-10-06,2023-10-09,0.0,
Closed,KOCI,PT Kokoh Exa Nusantara Tbk,Properties & Real Estate,Real Estate Development & Management,Pengembangan,120.0,-0.3,-0.19047619047619047,0.1323529411764706,-0.06493506493506493,-0.041666666666666664,-0.028985507246376812,0.029850746268656716,-0.275,Konstruksi dan Real Estat,"Jl, Raya Sukolilo, Tebul, Kwanyar, Bangkalan - 69163","https://www,kokohcity,com",450000000,10.19,PG - PANCA GLOBAL SEKURITAS,PG,2023-09-07,2023-09-12,120,160,2023-09-29,2023-10-04,2023-10-04,2023-10-05,2023-10-06,1.0,135.0
Closed,IOTF,PT Sumber Sinergi Makmur Tbk,Technology,Electronic Equipment & Instruments,Pengembangan,100.0,0.35,-0.23703703703703705,-0.02912621359223301,-0.01,0.06060606060606061,-0.06666666666666667,0.0,-0.13,Distributor dan Instalasi Perangkat Global Positioning System (GPS) untuk Otomotif dan Logistik,"Fox Logger Tower Jl, Cideng Barat nomor 31A, RT, 003/RW, 011, Kelurahan Cideng, Kecamatan Gambir, Jakarta Pusat 10150","https://www,foxlogger,co,id",1100000000,20.83,AH - SHINHAN SEKURITAS INDONESIA,"AH,CP",2023-09-14,2023-09-19,100,120,2023-09-29,2023-10-04,2023-10-04,2023-10-05,2023-10-06,1.0,130.0
Closed,AEGS,PT Anugerah Spareparts Sejahtera Tbk,Consumer Cyclicals,Auto Parts & Equipment,Akselerasi,100.0,-0.05,-0.09473684210526316,-0.09302325581395349,-0.0641025641025641,-0.0684931506849315,-0.058823529411764705,-0.046875,-0.22,"Industri Filter Kendaraan Bermotor yaitu Filter Oli dan Filter Bahan Bakar, serta Perdagangan Filter","Jalan Soekarno Hatta No, 134, Losari Kidul, Losari, Kab, Cirebon, Jawa Barat 45192","https://www,aegisfilter,co,id",400000000,39.76,AH - SHINHAN SEKURITAS INDONESIA,AH,2023-08-22,2023-08-24,90,100,2023-09-04,2023-09-07,2023-09-07,2023-09-08,2023-09-11,0.25,90.0
Closed,BABY,"PT Multitrend Indo Tbk,",Consumer Cyclicals,Apparel & Textile Retail,Utama,266.0,0.09022556390977443,-0.06896551724137931,-0.014814814814814815,-0.015037593984962405,-0.007633587786259542,0.06153846153846154,-0.021739130434782608,-0.03007518796992481,Perdagangan Eceran Pakaian dan Mainan Anak,"Gedung Menara Era Lt, 14-02 Jl, Senen Raya No, 135 – 137, Kel, Senen, Kec, Senen, Jakarta Pusat, Provinsi DKI Jakarta, 10410","https://kanmomultitrend,id/",534000000,20.01,AI - UOB KAY HIAN SEKURITAS,AI,2023-08-14,2023-08-22,250,266,2023-08-31,2023-09-05,2023-09-05,2023-09-06,2023-09-07,0.0,
Closed,RSCH,PT Charlie Hospital Semarang Tbk,Healthcare,Healthcare Providers,Pengembangan,115.0,0.1391304347826087,0.06870229007633588,-0.04285714285714286,0.014925373134328358,-0.022058823529411766,-0.015037593984962405,-0.015267175572519083,3.0869565217391304,Bergerak di bidang Aktivitas Rumah Sakit Swasta,"Jl, Raya Ngabean Kav 1A, Kel, Ngabean, Kec, Boja Kab, Kendal, Jawa Tengah 51381","https://charliehospital,co,id/",530000000,20.0,AH - SHINHAN SEKURITAS INDONESIA,"AH,SA",2023-08-04,2023-08-08,105,125,2023-08-22,2023-08-24,2023-08-24,2023-08-25,2023-08-28,0.0,
Closed,MSIE,PT Multisarana Intan Eduka Tbk,Properties & Real Estate,Real Estate Development & Management,Utama,100.0,-0.1,-0.1,-0.09876543209876543,-0.0958904109589041,-0.09090909090909091,-0.016666666666666666,-0.05084745762711865,-0.53,Real estat dan aktivitas penyewaan dan sewa guna usaha tanpa hak opsi,"Jl, Raya Kedung Baruk No, 112 – 114 Penjaringan Sari, Kec, Rungkut, Kota Surabaya, Jawa Timur","https://msie,co,id",360000000,24.66,EP - MNC SEKURITAS,"EP,CP",2023-07-17,2023-07-24,100,110,2023-08-02,2023-08-08,2023-08-08,2023-08-09,2023-08-10,0.5,250.0
Closed,LMAX,PT Lupromax Pelumas Indonesia Tbk,Consumer Cyclicals,Automotive Retail,Akselerasi,200.0,0.1,0.01818181818181818,0.08035714285714286,0.09917355371900827,0.09774436090225563,0.0958904109589041,0.1,-0.415,Bergerak dalam bidang usaha Pelumas dan Pelumas Aditif,"Ruko Graha Boulevard Blok A No,15 Jl, Raya Gading Serpong Kec, Kelapa Dua,Tangerang, Banten, Indonesia - 15810","https://lupromax,co,id/",195000000,26.09,AH - SHINHAN SEKURITAS INDONESIA,AH,2023-07-21,2023-07-24,160,200,2023-08-02,2023-08-07,2023-08-07,2023-08-08,2023-08-09,0.5,180.0
